"","Comb","Mean","Lower","Upper","PC_Mean_Ratio","PC_SD_Ratio","PC_empirical_Lower_Ratio","PC_empirical_Upper_Ratio"
"1","AM1","1.579","1.271","1.883",0.360091346211108,0.0718443319143565,0.434250551065393,0.326349235929929
"2","AM2","0.289","0.05","0.531",0.0659065225174226,0.0492471801191418,0.0170830271858927,0.0920294446515095
"3","AM3","0.158","0.04","0.269",0.0360319396462033,0.0225971517952148,0.0136664217487142,0.0466213194185613
"4","AF1","0.517","0.237","0.798",0.0978729629129405,0.0182223229764383,0.080279823269514,0.105803374908291
"5","AF2","0.966","0.631","1.295",0.182872886216442,0.0296922976593536,0.213740795287187,0.171698459280998
"6","AF3","0.414","0.199","0.633",0.0783740940927608,0.0114699746829153,0.0674079528718704,0.0839267372392831
"7","JX1","0.357","0","0.736",0.0255398154719659,0.025704,0,0.0326868985936343
"8","JX2","0.429","0.049","0.817",0.0306907026259759,0.0217291214953271,0.0091588785046729,0.0362842339008142
"9","JX3","1.714","0.914","2.5",0.122619730305181,0.0474331214953271,0.170841121495327,0.111028867505551
